Time,Levels(ft),Inflows(Cs),Disch(Cs)
2001.263,1497.43,5739,9643
2001.266,1496.7,5361,9557
2001.268,1496.05,5866,9600
2001.271,1495.77,6771,8378
2001.274,1495.27,6585,9457
2001.277,1494.77,6314,9184
2001.279,1494.26,6213,9142
2001.282,1493.77,6281,9100
2001.285,1493.39,6749,8932
2001.288,1493.1,7005,8671
2001.29,1492.79,6856,8634
2001.293,1492.57,7302,8566
2001.296,1492.38,7475,8566
2001.299,1492.4,8817,8702
2001.301,1492.62,9373,8110
2001.304,1492.82,9095,7946
2001.307,1492.7,7665,8354
2001.31,1492.67,7735,7908
2001.312,1492.72,8660,8372
2001.315,1492.46,8157,9650
2001.318,1492.15,8042,9824
2001.321,1492.16,9742,9684
2001.323,1491.95,8440,9650
2001.326,1491.74,8444,9650
2001.329,1491.17,8162,11437
2001.332,1490.62,9572,12729
2001.334,1490.19,10598,13068
2001.337,1489.8,10796,13035
2001.34,1489.4,10668,12965
2001.342,1489.1,11311,13035
2001.345,1489.58,15519,12761
2001.348,1490.16,16364,13034
2001.351,1490.75,16457,13068
2001.353,1491.45,17156,13137
2001.356,1492.28,17703,12931
2001.359,1493.47,19765,12932
2001.362,1494.92,21596,13263
2001.364,1496.62,22972,13211
